order_id,order_date,product_id,product_category,price,discount_percent,quantity_sold,customer_region,payment_method,rating,review_count,discounted_price,total_revenue
1,2022-04-13,3832,Home,198.71,30,6,Europe,Debit Card,4.4,74,139.1,834.6
2,2023-03-12,3824,Electronics,434.25,10,8,North America,PayPal,3.6,637,390.82,3126.56
3,2022-09-28,2994,Fashion,243.22,5,8,Europe,UPI,2.1,700,231.06,1848.48
4,2022-04-17,4490,Books,64.38,30,6,Asia,Credit Card,4.9,254,45.07,270.42
5,2022-03-13,8984,Books,320.87,25,3,South America,PayPal,2.3,959,240.65,721.95
6,2023-12-02,2604,Fashion,387.68,10,5,Europe,Debit Card,5.0,833,348.91,1744.55
7,2022-01-21,1235,Fashion,11.41,25,2,Asia,Credit Card,5.0,820,8.56,17.12
8,2023-09-07,2908,Electronics,430.89,30,5,Europe,Credit Card,1.8,747,301.62,1508.1
9,2022-05-02,9567,Fashion,101.15,30,9,Asia,Credit Card,2.3,986,70.8,637.2
10,2023-04-12,4530,Fashion,280.51,10,10,South America,Debit Card,2.9,762,252.46,2524.6
11,2022-08-03,6256,Electronics,213.74,25,1,North America,Credit Card,3.7,332,160.3,160.3
12,2022-11-27,3635,Sports,362.63,15,10,Europe,Credit Card,3.1,398,308.24,3082.4
13,2023-04-04,9162,Fashion,191.87,25,5,Oceania,Credit Card,4.9,345,143.9,719.5
14,2022-03-29,3560,Beauty,436.18,30,6,South America,UPI,3.9,584,305.33,1831.98
15,2023-01-08,6415,Sports,367.94,25,7,Asia,PayPal,1.8,747,275.96,1931.72
16,2022-04-10,4391,Fashion,327.38,5,9,Asia,Credit Card,1.4,836,311.01,2799.09
17,2023-10-26,6951,Sports,400.16,15,6,Europe,Credit Card,3.8,668,340.14,2040.84
18,2022-05-11,6468,Electronics,379.47,20,5,Asia,Credit Card,1.6,455,303.58,1517.9
19,2023-10-24,9007,Electronics,27.61,5,7,South America,Net Banking,4.2,906,26.23,183.61
20,2022-11-05,7413,Electronics,203.42,20,1,Asia,Debit Card,2.2,115,162.74,162.74
21,2022-12-10,7941,Electronics,466.1,10,5,Europe,Debit Card,2.3,313,419.49,2097.45
22,2023-05-07,5820,Electronics,71.6,20,2,North America,Credit Card,1.0,228,57.28,114.56
23,2023-02-18,3898,Electronics,371.18,25,4,Europe,PayPal,3.8,834,278.38,1113.52
24,2023-01-21,8546,Home,487.55,20,7,North America,Debit Card,1.5,858,390.04,2730.28
25,2022-07-11,1077,Home,35.58,30,5,North America,Credit Card,4.1,245,24.91,124.55
26,2022-10-04,8577,Electronics,344.28,5,6,Europe,Credit Card,3.0,818,327.07,1962.42
27,2022-06-10,5227,Home,239.4,5,2,North America,Debit Card,4.1,526,227.43,454.86
28,2023-04-05,1600,Books,293.8,20,3,North America,PayPal,3.3,528,235.04,705.12
29,2022-11-10,2065,Fashion,51.82,5,7,Asia,PayPal,1.3,950,49.23,344.61
30,2022-01-22,3136,Sports,31.07,30,2,North America,UPI,4.1,427,21.75,43.5
31,2022-09-10,7943,Fashion,336.76,5,6,North America,PayPal,1.3,42,319.92,1919.52
32,2023-07-15,8804,Books,413.42,20,5,Europe,Credit Card,2.9,465,330.74,1653.7
33,2023-04-20,7565,Fashion,393.19,15,10,North America,UPI,1.7,622,334.21,3342.1
34,2022-02-28,6984,Fashion,276.46,15,1,Asia,UPI,4.0,278,234.99,234.99
35,2023-05-26,6142,Beauty,58.93,10,10,North America,Credit Card,4.6,836,53.04,530.4
36,2023-11-13,5670,Electronics,347.14,5,4,Asia,PayPal,3.2,19,329.78,1319.12
37,2023-04-21,3190,Beauty,128.53,20,2,Africa,Credit Card,3.1,66,102.82,205.64
38,2023-12-01,3712,Electronics,456.42,5,4,Asia,Credit Card,4.1,167,433.6,1734.4
39,2022-07-09,3192,Electronics,420.75,25,1,Asia,UPI,1.0,585,315.56,315.56
40,2023-11-18,2248,Fashion,357.6,30,2,South America,UPI,4.7,403,250.32,500.64
41,2023-07-17,5033,Home,474.93,5,8,Asia,UPI,1.8,912,451.18,3609.44
42,2023-07-21,2997,Books,25.4,5,6,North America,Credit Card,4.9,822,24.13,144.78
43,2022-09-01,4687,Sports,370.74,15,2,Europe,PayPal,3.9,409,315.13,630.26
